DEPARTAMENTOS;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;;;
Nariño;3.764;3.703;3.909;4.105;4.095;4.339;4.567;4.636;4.835;4.927;4.798;5.068;5.184;5.794;6.071;6.068;6.423;6.396;6.651;6.538;6.483;6.798;6.896;7.313;7.772;7.862;8.682;9.037;9.031;9.239;9.259;9.828;10.376;11.037;11.569;12.230;12.760;12.441;12.643;13.064;12.515;13.745;14.344;;;;;
Norte de Santander;4.967;4.893;4.916;4.778;4.792;5.211;5.649;5.502;5.806;5.969;5.942;5.964;6.268;6.692;6.694;6.990;7.043;7.305;7.352;7.292;7.198;7.425;7.768;7.998;7.844;8.050;8.981;9.662;10.288;10.587;10.706;10.947;11.117;11.696;12.253;12.534;13.041;12.940;13.347;13.550;12.798;14.178;15.164;;;;;
Quindio;3.188;2.944;3.120;3.033;3.085;3.272;3.496;3.576;3.721;3.490;5.942;4.257;4.380;4.221;4.706;4.642;4.380;4.771;4.671;4.579;4.546;4.945;4.669;4.366;4.271;4.205;4.736;4.946;4.986;4.933;5.104;5.456;5.869;5.933;6.104;6.381;6.624;6.736;6.793;6.968;6.539;7.320;7.775;;;;;
Risaralda;4.489;4.327;4.618;4.955;4.868;5.436;5.570;5.867;6.244;6.536;5.942;7.314;7.400;7.759;8.109;8.427;8.272;8.612;8.446;7.587;7.408;7.489;7.531;7.900;8.420;9.093;9.899;10.074;10.272;10.336;10.503;10.665;10.978;11.815;12.367;12.656;13.027;13.202;13.551;13.969;13.149;14.691;15.906;;;;;
Santander;12.441;13.265;14.055;13.681;13.838;14.221;16.093;17.388;17.406;17.999;5.942;18.007;19.372;20.739;21.986;22.792;24.790;25.584;25.374;25.667;26.200;27.553;28.112;29.519;31.738;33.528;35.774;38.353;40.471;40.212;42.786;44.685;45.841;47.680;52.135;51.999;53.175;54.065;54.942;56.515;51.475;57.118;61.011;;;;;
Sucre;2.249;2.282;2.270;2.267;2.238;2.305;2.385;2.499;2.531;2.641;5.942;2.629;2.863;3.033;3.289;3.440;3.611;3.746;3.765;3.652;3.700;3.760;3.608;3.705;3.768;4.033;4.409;4.750;4.910;5.199;5.206;5.553;5.855;6.134;6.469;6.577;6.807;6.982;7.108;7.366;6.941;7.677;8.041;;;;;
Tolima;6.646;6.881;6.447;6.563;6.709;6.936;7.181;7.654;7.821;8.334;5.942;9.072;9.420;10.085;10.057;10.238;11.072;12.020;11.817;11.016;10.823;11.546;11.299;11.214;11.741;12.491;13.278;14.601;14.863;14.817;14.820;15.312;15.830;16.616;17.182;17.381;17.708;17.936;18.120;18.512;17.149;18.733;19.647;;;;;
Valle del Cauca;28.966;28.967;28.730;29.232;30.228;31.238;32.146;33.202;34.436;35.106;5.942;36.688;37.545;39.836;41.090;44.275;46.268;46.467;46.532;44.554;44.774;45.586;46.720;48.593;50.401;51.787;56.386;61.010;62.367;62.817;63.805;66.670;69.201;72.246;75.901;78.074;80.022;81.447;84.172;87.023;81.904;89.970;97.055;;;;;
Nuevos departamentos;5.253;5.768;6.528;6.665;7.327;8.481;10.320;12.368;12.584;13.865;5.942;14.376;14.703;14.741;14.567;17.097;19.495;20.835;23.676;26.753;23.120;20.466;19.563;19.376;17.737;19.028;18.804;19.044;19.652;20.415;20.829;22.272;22.825;24.233;24.935;24.914;24.324;24.268;24.812;25.331;23.163;24.515;25.404;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
